Solver	Executable.team	Problem	Instance	Exit-code	Exec-Status	Checker-out	Time(user+sys)	Memory-Usage	Time-Limit	Memory-Limit	Real	TrackFormula	Track	RESULT	SCORE	RESULT_IN_MARATHON	SCORE-MARATHON
idlv+-s	idlv+-s.competition.2.aspcomp	CombinedConfiguration	grid_000961_combined_configuration_problem-0-0.asp	1	out of time	ECODE_INVALID_1	1200.07	1469.1	1200	12288	1202.974	T2	T2	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.3.aspcomp	CombinedConfiguration	000237_14_combined_configuration_problem-0-0.asp	10	complete	OK	19.55	235.4	1200	12288	20.248	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.3.aspcomp	CombinedConfiguration	000306_16_combined_configuration_problem-0-0.asp	10	complete	OK	36	250.4	1200	12288	37.381	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.3.aspcomp	CombinedConfiguration	grid_001024_combined_configuration_problem-0-0.asp	1	out of time	ECODE_INVALID_1	1200.18	1795	1200	12288	1202.931	T2	T2	out of time	0	out of time	0
idlv+-s	idlv+-s.competition.4.aspcomp	CombinedConfiguration	000257_12_combined_configuration_problem-0-0.asp	10	complete	OK	14.89	137.8	1200	12288	15.714	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.4.aspcomp	CombinedConfiguration	000306_1_combined_configuration_problem-0-0.asp	10	complete	OK	68.86	344.9	1200	12288	70.257	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.5.aspcomp	CombinedConfiguration	000306_17_combined_configuration_problem-0-0.asp	10	complete	OK	41.41	407.1	1200	12288	42.946	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.5.aspcomp	CombinedConfiguration	000306_2_combined_configuration_problem-0-0.asp	10	complete	OK	36.38	210.9	1200	12288	37.722	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.6.aspcomp	CombinedConfiguration	000306_20_combined_configuration_problem-0-0.asp	10	complete	OK	98	264.8	1200	12288	99.344	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.6.aspcomp	CombinedConfiguration	000306_4_combined_configuration_problem-0-0.asp	10	complete	OK	77.42	504.6	1200	12288	78.804	T2	T2	solved	5	solved	5
idlv+-s	idlv+-s.competition.7.aspcomp	CombinedConfiguration	000306_7_combined_configuration_problem-0-0.asp	10	complete	OK	35.3	359.5	1200	12288	36.633	T2	T2	solved	5	solved	5
